Step,Name,Type,Status,Nominal,Measured,Unit,Deviation,LowerLimit,UpperLimit,Error
1,Start H&H Load Calibration,Message,Passed,,,,,,,
2,Reset Power Source,Configure,Passed,,,,,,,
5,Settling after reset,Wait,Passed,,,,,,,
100,DC Voltage 60V - Begin,Message,Passed,,,,,,,
101,Set Power Source 0V DC,Configure,Passed,,,,,,,
102,Settling 0V DC,Wait,Passed,,,,,,,
103,Calibrate 0V DC,Measurement,Passed,0,0,V,,-0.03,0.03,
111,Set Power Source 5V DC,Configure,Passed,,,,,,,
112,Settling 5V DC,Wait,Passed,,,,,,,
113,Calibrate 5V DC,Measurement,Passed,5,5.000204153099216,V,0.01635166572492577,4.99,5.01,
121,Set Power Source 10V DC,Configure,Passed,,,,,,,
122,Settling 10V DC,Wait,Passed,,,,,,,
123,Calibrate 10V DC,Measurement,Passed,10,9.99953485571046,V,0.01964838200927915,9.98,10.02,
131,Set Power Source 20V DC,Configure,Passed,,,,,,,
132,Settling 20V DC,Wait,Passed,,,,,,,
133,Calibrate 20V DC,Measurement,Passed,20,19.99962769797305,V,-0.010048657924720079,19.96,20.04,
141,Set Power Source 30V DC,Configure,Passed,,,,,,,
142,Settling 30V DC,Wait,Passed,,,,,,,
143,Calibrate 30V DC,Measurement,Passed,30,29.99843082051488,V,-0.018609880548466552,29.94,30.06,
151,Set Power Source 40V DC,Configure,Passed,,,,,,,
152,Settling 40V DC,Wait,Passed,,,,,,,
153,Calibrate 40V DC,Measurement,Passed,40,40.0131345609462,V,0.05389753258990681,39.92,40.08,
161,Set Power Source 50V DC,Configure,Passed,,,,,,,
162,Settling 50V DC,Wait,Passed,,,,,,,
163,Calibrate 50V DC,Measurement,Passed,50,49.996007712879255,V,-0.010516758472719698,49.9,50.1,
171,Set Power Source 60V DC,Configure,Passed,,,,,,,
172,Settling 60V DC,Wait,Passed,,,,,,,
173,Calibrate 60V DC,Measurement,Passed,60,59.99892959678091,V,0.023290497549436476,59.88,60.12,
900,Calibration Complete,Message,Passed,,,,,,,
901,Power Source Off,Configure,Passed,,,,,,,
902,Done,Message,Passed,,,,,,,
